user_id score n_interactive_queries
230 0.333333333333 9.0
294 0.333333333333 21.0
365 0.333333333333 9.0
383 0.333333333333 6.0
401 0.333333333333 9.0
116 0.337579617834 157.0
68 0.346153846154 26.0
157 0.34693877551 49.0
338 0.347826086957 23.0
223 0.352941176471 34.0
1 0.36170212766 47.0
240 0.368613138686 274.0
430 0.37037037037 54.0
241 0.383838383838 99.0
105 0.384615384615 26.0
246 0.388888888889 18.0
201 0.393939393939 33.0
229 0.394230769231 104.0
127 0.398203592814 334.0
61 0.4 20.0
94 0.4 25.0
166 0.4 5.0
218 0.4 5.0
363 0.415094339623 53.0
346 0.416666666667 12.0
411 0.41935483871 62.0
314 0.421348314607 178.0
35 0.424242424242 66.0
438 0.433962264151 53.0
90 0.441860465116 86.0
132 0.444444444444 18.0
277 0.444444444444 9.0
301 0.444444444444 54.0
402 0.452380952381 42.0
37 0.45652173913 46.0
109 0.457142857143 70.0
219 0.458333333333 24.0
310 0.461538461538 52.0
419 0.463768115942 69.0
279 0.473933649289 211.0
311 0.49504950495 101.0
110 0.5 14.0
133 0.5 6.0
153 0.5 44.0
154 0.5 12.0
327 0.5 6.0
352 0.5 18.0
391 0.5 2.0
443 0.5 14.0
263 0.501577287066 317.0
439 0.517647058824 85.0
87 0.518518518519 27.0
245 0.52 25.0
422 0.523364485981 107.0
202 0.52380952381 42.0
177 0.525423728814 59.0
89 0.526315789474 19.0
414 0.526315789474 19.0
409 0.529411764706 17.0
319 0.538461538462 26.0
331 0.543778801843 868.0
242 0.547619047619 84.0
349 0.553191489362 47.0
379 0.555555555556 9.0
45 0.56043956044 91.0
58 0.56862745098 102.0
8 0.571428571429 7.0
67 0.571428571429 7.0
147 0.571428571429 7.0
252 0.571428571429 7.0
6 0.583333333333 12.0
163 0.583333333333 12.0
386 0.583333333333 12.0
431 0.588235294118 34.0
237 0.6 10.0
251 0.6 30.0
285 0.6 70.0
330 0.615384615385 13.0
259 0.625 8.0
262 0.628472222222 288.0
214 0.636363636364 11.0
266 0.636363636364 11.0
343 0.647058823529 17.0
423 0.659340659341 91.0
82 0.666666666667 30.0
183 0.666666666667 66.0
191 0.666666666667 6.0
211 0.666666666667 6.0
231 0.666666666667 33.0
307 0.666666666667 3.0
342 0.666666666667 3.0
353 0.666666666667 9.0
369 0.666666666667 6.0
415 0.666666666667 3.0
420 0.666666666667 3.0
255 0.691176470588 136.0
79 0.692307692308 39.0
165 0.697674418605 43.0
250 0.7 10.0
207 0.705882352941 17.0
315 0.705882352941 17.0
412 0.706293706294 143.0
364 0.708333333333 24.0
361 0.709677419355 31.0
29 0.714285714286 7.0
78 0.714285714286 7.0
4 0.739130434783 23.0
162 0.75 8.0
216 0.75 16.0
308 0.75 4.0
181 0.757575757576 33.0
36 0.777777777778 9.0
111 0.785714285714 14.0
91 0.787878787879 33.0
50 0.8 20.0
189 0.8 5.0
274 0.8 10.0
340 0.8 5.0
366 0.8 5.0
73 0.803418803419 117.0
31 0.818181818182 22.0
160 0.821428571429 28.0
347 0.835820895522 67.0
426 0.848484848485 33.0
264 0.863636363636 22.0
268 0.867647058824 68.0
275 0.867924528302 53.0
96 0.870967741935 31.0
40 0.877551020408 49.0
428 0.901098901099 91.0
212 0.909090909091 11.0
169 0.954545454545 22.0
30 0.961538461538 26.0
19 0.96875 32.0
220 0.978947368421 95.0
350 0.985488126649 758.0
128 0.987341772152 79.0
235 0.998201438849 1112.0
5 1.0 14.0
22 1.0 1754.0
27 1.0 3.0
47 1.0 2.0
72 1.0 1.0
76 1.0 1.0
84 1.0 1.0
97 1.0 10.0
102 1.0 230.0
108 1.0 5.0
115 1.0 6.0
122 1.0 2.0
131 1.0 1.0
135 1.0 4.0
138 1.0 32.0
141 1.0 2.0
143 1.0 7.0
159 1.0 3.0
161 1.0 1.0
170 1.0 10.0
176 1.0 120.0
179 1.0 250.0
182 1.0 24.0
196 1.0 17.0
198 1.0 1.0
203 1.0 2.0
224 1.0 1.0
232 1.0 3.0
234 1.0 8.0
249 1.0 4.0
254 1.0 10.0
265 1.0 38.0
267 1.0 6.0
272 1.0 3.0
282 1.0 2.0
288 1.0 2.0
291 1.0 8.0
292 1.0 955.0
295 1.0 1.0
300 1.0 9.0
302 1.0 1.0
304 1.0 56.0
305 1.0 1.0
332 1.0 5.0
335 1.0 6.0
337 1.0 2.0
348 1.0 6.0
356 1.0 2.0
376 1.0 2.0
385 1.0 7.0
387 1.0 279.0
396 1.0 12.0
403 1.0 2.0
405 1.0 2.0
418 1.0 1.0
436 1.0 2.0
Number of users with no interactive queries: 173
Number of users with only suspicious queries: 56
Number of users with no suspicious queries: 40
